# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,canard,0,PMUWOESUZS,0,0,1,9.993908270190957621e-01, 0.000000000000000000e+00, -3.489949670250096919e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.489949670250096919e-02, 0.000000000000000000e+00, 9.993908270190957621e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.799999999999998934e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,41
# x,y,z,u,w
5.428432560344405994e-02, 1.549473684210526336e+00, 3.541878529961239863e-02, 1.157894736842105310e+00, 2.190697740912981306e+00
8.530953104648304752e-02, 1.549473684210526336e+00, 4.123168591535374128e-02, 1.157894736842105310e+00, 2.276535875536843889e+00
1.243434659690619559e-01, 1.549473684210526336e+00, 4.567134025611567505e-02, 1.157894736842105310e+00, 2.383341182670537073e+00
1.715688764447824421e-01, 1.549473684210526336e+00, 4.876424111373264814e-02, 1.157894736842105310e+00, 2.511989859081243281e+00
2.263837332254403090e-01, 1.549473684210526336e+00, 5.024131456210111091e-02, 1.157894736842105310e+00, 2.661025311164463503e+00
2.871108906370632430e-01, 1.549473684210526336e+00, 4.955691275703057175e-02, 1.157894736842105310e+00, 2.826077994344449174e+00
3.510239193196405538e-01, 1.549473684210526336e+00, 4.622823291189741279e-02, 1.157894736842105310e+00, 3.000000000000000000e+00
4.147130441652788213e-01, 1.549473684210526336e+00, 3.986663587168233491e-02, 1.157894736842105310e+00, 3.173922005655550826e+00
4.747536156606062541e-01, 1.549473684210526336e+00, 3.062123628139119119e-02, 1.157894736842105310e+00, 3.338974688835536497e+00
5.285504415800993394e-01, 1.549473684210526336e+00, 1.986689392498966478e-02, 1.157894736842105310e+00, 3.488010140918756719e+00
5.746845998853211679e-01, 1.549473684210526336e+00, 9.154051373742129113e-03, 1.157894736842105310e+00, 3.616658817329462927e+00
6.128091465202818444e-01, 1.549473684210526336e+00, -4.775782193765824792e-04, 1.157894736842105310e+00, 3.723464124463156111e+00
6.433407674643368823e-01, 1.549473684210526336e+00, -8.641380770845098411e-03, 1.157894736842105310e+00, 3.809302259087018250e+00
6.672094469384458604e-01, 1.549473684210526336e+00, -1.516463918821315919e-02, 1.157894736842105310e+00, 3.876506978997809050e+00
6.854721123729785592e-01, 1.549473684210526336e+00, -2.032875282678585360e-02, 1.157894736842105310e+00, 3.928052851150206415e+00
6.992284641623252028e-01, 1.549473684210526336e+00, -2.433829926794519455e-02, 1.157894736842105310e+00, 3.966968647865119824e+00
7.094767191030213471e-01, 1.549473684210526336e+00, -2.737790040302823941e-02, 1.157894736842105310e+00, 4.000000000000000000e+00
7.094823921080548601e-01, 1.772631578947368336e+00, -2.721544679401340094e-02, 1.210526315789473673e+00, 0.000000000000000000e+00
6.991809758651095219e-01, 1.772631578947368336e+00, -2.525625930150349543e-02, 1.210526315789473673e+00, 3.303135213488024580e-02
6.852870067097261986e-01, 1.772631578947368336e+00, -2.320456739101098981e-02, 1.210526315789473673e+00, 7.194714884979341862e-02
6.667576005040763976e-01, 1.772631578947368336e+00, -2.147644202151135703e-02, 1.210526315789473673e+00, 1.234930210021912000e-01
6.425075233813161146e-01, 1.772631578947368336e+00, -2.053377659834186575e-02, 1.210526315789473673e+00, 1.906977409129814449e-01
6.115124610496642799e-01, 1.772631578947368336e+00, -2.089523614188873793e-02, 1.210526315789473673e+00, 2.765358755368439447e-01
5.730047194203009564e-01, 1.772631578947368336e+00, -2.314624525366501540e-02, 1.210526315789473673e+00, 3.833411826705370173e-01
5.267351712128882646e-01, 1.772631578947368114e+00, -2.741337739165400009e-02, 1.210526315789473673e+00, 5.119898590812432815e-01
4.731740409878600340e-01, 1.772631578947368336e+00, -3.280052505655794981e-02, 1.210526315789473673e+00, 6.610253111644632806e-01
4.137683417257149165e-01, 1.772631578947368336e+00, -3.777359901959212451e-02, 1.210526315789473673e+00, 8.260779943444493956e-01
3.510131816240813496e-01, 1.772631578947368336e+00, -4.034805602340243297e-02, 1.210526315789473673e+00, 1.000000000000000000e+00
2.882077086026736401e-01, 1.772631578947368336e+00, -4.057282564440569533e-02, 1.210526315789473673e+00, 1.173922005655550826e+00
2.286230024259135185e-01, 1.772631578947368336e+00, -3.934667050677891076e-02, 1.210526315789473673e+00, 1.338974688835536719e+00
1.748763150200882965e-01, 1.772631578947368114e+00, -3.668719347660940461e-02, 1.210526315789473673e+00, 1.488010140918756719e+00
1.286103522425829093e-01, 1.772631578947368336e+00, -3.260838782486202153e-02, 1.210526315789473673e+00, 1.616658817329462927e+00
9.032926482405097268e-02, 1.772631578947368336e+00, -2.800858128136300695e-02, 1.210526315789473673e+00, 1.723464124463156111e+00
5.966738540905665994e-02, 1.772631578947368336e+00, -2.352776283747664426e-02, 1.210526315789473673e+00, 1.809302259087018472e+00
3.580568389108956112e-02, 1.772631578947368336e+00, -1.924601673492257886e-02, 1.210526315789473673e+00, 1.876506978997808828e+00
1.775092442329330791e-02, 1.772631578947368336e+00, -1.482131950246741957e-02, 1.210526315789473673e+00, 1.928052851150206637e+00
5.083772109557500515e-03, 1.772631578947368336e+00, -8.862482058303425975e-03, 1.210526315789473673e+00, 1.966968647865119824e+00
0.000000000000000000e+00, 1.772631578947368336e+00, 0.000000000000000000e+00, 1.210526315789473673e+00, 2.000000000000000000e+00
